[2026-01-07 17:08:21] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/bridge/event', payload '{"data":{"definition":{"description":"Light controller","exposes":[{"features":[{"access":7,"description":"On/off state of this light","label":"State","name":"state","property":"state","type":"binary","value_off":"OFF","value_on":"ON","value_toggle":"TOGGLE"},{"access":7,"description":"Brightness of this light","label":"Brightness","name":"brightness","property":"brightness","type":"numeric","value_max":254,"value_min":0},{"access":7,"description":"Color temperature of this light","label":"Color temp","name":"color_temp","presets":[{"description":"Coolest temperature supported","name":"coolest","value":153},{"description":"Cool temperature (250 mireds / 4000 Kelvin)","name":"cool","value":250},{"description":"Neutral temperature (370 mireds / 2700 Kelvin)","name":"neutral","value":370},{"description":"Warm temperature (454 mireds / 2200 Kelvin)","name":"warm","value":454},{"description":"Warmest temperature supported","name":"warmest","value":500}],"property":"color_temp","type":"numeric","unit":"mired","value_max":500,"value_min":153}],"type":"light"},{"access":2,"description":"Triggers an effect on the light (e.g. make light blink for a few seconds)","label":"Effect","name":"effect","property":"effect","type":"enum","values":["blink","breathe","okay","channel_change","finish_effect","stop_effect"]},{"access":3,"description":"Do not disturb mode, when enabled this function will keep the light OFF after a power outage","label":"Do not disturb","name":"do_not_disturb","property":"do_not_disturb","type":"binary","value_off":false,"value_on":true},{"access":1,"category":"diagnostic","description":"Link quality (signal strength)","label":"Linkquality","name":"linkquality","property":"linkquality","type":"numeric","unit":"lqi","value_max":255,"value_min":0}],"model":"TS0502B","options":[{"access":2,"description":"Controls the transition time (in seconds) of on/off, brightness, color temperature (if applicable) and color (if applicable) changes. Defaults to `0` (no transition).","label":"Transition","name":"transition","property":"transition","type":"numeric","value_min":0},{"access":2,"description":"When enabled colors will be synced, e.g. if the light supports both color x/y and color temperature a conversion from color x/y to color temperature will be done when setting the x/y color (default true).","label":"Color sync","name":"color_sync","property":"color_sync","type":"binary","value_off":false,"value_on":true},{"access":2,"description":"State actions will also be published as 'action' when true (default false).","label":"State action","name":"state_action","property":"state_action","type":"binary","value_off":false,"value_on":true}],"source":"native","supports_ota":false,"vendor":"Tuya"},"friendly_name":"0xa4c1386d425bfa10","ieee_address":"0xa4c1386d425bfa10","status":"successful","supported":true},"type":"device_interview"}'
[2026-01-07 17:08:21] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/select/0xa4c1386d425bfa10/effect/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/0xa4c1386d425bfa10/set/effect","default_entity_id":"select.0xa4c1386d425bfa10_effect","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xa4c1386d425bfa10"],"manufacturer":"Tuya","model":"Light controller","model_id":"TS0502B","name":"0xa4c1386d425bfa10","via_device":"zigbee2mqtt_bridge_0x00124b0031df1976"},"enabled_by_default":false,"icon":"mdi:palette","name":"Effect","object_id":"0xa4c1386d425bfa10_effect","options":["blink","breathe","okay","channel_change","finish_effect","stop_effect"],"origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"unique_id":"0xa4c1386d425bfa10_effect_zigbee2mqtt"}'
[2026-01-07 17:08:21] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/switch/0xa4c1386d425bfa10/switch_do_not_disturb/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"command_topic":"zigbee2mqtt/0xa4c1386d425bfa10/set/do_not_disturb","default_entity_id":"switch.0xa4c1386d425bfa10_do_not_disturb","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xa4c1386d425bfa10"],"manufacturer":"Tuya","model":"Light controller","model_id":"TS0502B","name":"0xa4c1386d425bfa10","via_device":"zigbee2mqtt_bridge_0x00124b0031df1976"},"name":"Do not disturb","object_id":"0xa4c1386d425bfa10_do_not_disturb","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"payload_off":"false","payload_on":"true","state_topic":"zigbee2mqtt/0xa4c1386d425bfa10","unique_id":"0xa4c1386d425bfa10_switch_do_not_disturb_zigbee2mqtt","value_template":"{% if value_json.do_not_disturb %}true{% else %}false{% endif %}"}'
[2026-01-07 17:08:21] info: 	z2m:mqtt: MQTT publish: topic 'homeassistant/sensor/0xa4c1386d425bfa10/linkquality/config', payload '{"availability":[{"topic":"zigbee2mqtt/bridge/state","value_template":"{{ value_json.state }}"}],"default_entity_id":"sensor.0xa4c1386d425bfa10_linkquality","device":{"hw_version":1,"identifiers":["zigbee2mqtt_0xa4c1386d425bfa10"],"manufacturer":"Tuya","model":"Light controller","model_id":"TS0502B","name":"0xa4c1386d425bfa10","via_device":"zigbee2mqtt_bridge_0x00124b0031df1976"},"enabled_by_default":false,"entity_category":"diagnostic","icon":"mdi:signal","name":"Linkquality","object_id":"0xa4c1386d425bfa10_linkquality","origin":{"name":"Zigbee2MQTT","sw":"2.6.3","url":"https://www.zigbee2mqtt.io"},"state_class":"measurement","state_topic":"zigbee2mqtt/0xa4c1386d425bfa10","unique_id":"0xa4c1386d425bfa10_linkquality_zigbee2mqtt","unit_of_measurement":"lqi","value_template":"{{ value_json.linkquality }}"}'
[2026-01-07 17:08:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:22] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"do_not_disturb":null,"effect":null,"linkquality":43,"state":"ON"}'
[2026-01-07 17:08:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:23] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:23] info: 	z2m: Successfully configured '0xa4c1386d425bfa10'
[2026-01-07 17:08:27] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":36,"state":"ON"}'
[2026-01-07 17:08:31] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:31] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":43,"state":"ON"}'
[2026-01-07 17:08:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":254,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:32] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":43,"state":"ON"}'
[2026-01-07 17:08:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":43,"state":"ON"}'
[2026-01-07 17:08:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":43,"state":"ON"}'
[2026-01-07 17:08:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:33] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":43,"state":"ON"}'
[2026-01-07 17:08:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":36,"state":"ON"}'
[2026-01-07 17:08:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":43,"state":"ON"}'
[2026-01-07 17:08:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":40,"state":"ON"}'
[2026-01-07 17:08:34] info: 	z2m:mqtt: MQTT publish: topic 'zigbee2mqtt/0xa4c1386d425bfa10', payload '{"brightness":255,"color_mode":"color_temp","color_temp":153,"do_not_disturb":null,"effect":null,"linkquality":43,"state":"ON"}'
